
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012668                       # Number of seconds simulated (Second)
simTicks                                  12668390500                       # Number of ticks simulated (Tick)
finalTick                                 12668390500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     97.87                       # Real time elapsed on the host (Second)
hostTickRate                                129436417                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2811968                       # Number of bytes of host memory used (Byte)
simInsts                                     18405434                       # Number of instructions simulated (Count)
simOps                                       21482674                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   188053                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     219494                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bigCluster.clk_domain.clock                500                       # Clock period in ticks (Tick)
system.bigCluster.cpus.numCycles             25336782                       # Number of cpu cycles simulated (Cycle)
system.bigCluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.bigCluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.bigCluster.cpus.instsAdded            21567790                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.bigCluster.cpus.nonSpecInstsAdded         8197                       # Number of non-speculative instructions added to the IQ (Count)
system.bigCluster.cpus.instsIssued           21541384                       # Number of instructions issued (Count)
system.bigCluster.cpus.squashedInstsIssued         6929                       # Number of squashed instructions issued (Count)
system.bigCluster.cpus.squashedInstsExamined        93326                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.bigCluster.cpus.squashedOperandsExamined        75633                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.bigCluster.cpus.squashedNonSpecRemoved          182                       # Number of squashed non-spec instructions that were removed (Count)
system.bigCluster.cpus.numIssuedDist::samples     25113793                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::mean     0.857751                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::stdev     1.125266                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.statFuBusy::SimdAlu            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdCmp            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdCvt            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdMisc            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdMult            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdMultAcc            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdShift            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdShiftAcc            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdDiv            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdSqrt            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatAdd            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatAlu            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatCmp            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatCvt            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatDiv            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatMisc            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatMult            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatMultAcc            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatSqrt            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdReduceAdd            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdReduceAlu            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdReduceCmp            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatReduceAdd            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdFloatReduceCmp            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdAes            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdAesMix            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdSha1Hash            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdSha1Hash2            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdSha256Hash            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdSha256Hash2            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdShaSigma2            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdShaSigma3            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::SimdPredAlu            0      0.00%     55.03% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::MemRead       700904      9.54%     64.57% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::MemWrite      2601661     35.43%    100.00% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::FloatMemRead            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::FloatMemWrite            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::IprAccess            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statFuBusy::InstPrefetch            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.bigCluster.cpus.statIssuedInstType_0::No_OpClass            0      0.00%      0.00% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::IntAlu     14962199     69.46%     69.46% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::IntMult       300210      1.39%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::IntDiv           15      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::FloatAdd            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::FloatCmp            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::FloatCvt            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::FloatMult            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::FloatMultAcc            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::FloatDiv            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::FloatMisc            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::FloatSqrt            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdAdd            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdAddAcc            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdAlu            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdCmp            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdCvt            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdMisc            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdMult            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdMultAcc            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdShift            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdShiftAcc            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdDiv            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdSqrt            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdFloatAdd            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdFloatAlu            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdFloatCmp            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdFloatCvt            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdFloatDiv            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdFloatMisc            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdFloatMult            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdReduceAdd            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdReduceAlu            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdReduceCmp            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdAes            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdAesMix            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdSha1Hash            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdSha256Hash            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdShaSigma2            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdShaSigma3            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::SimdPredAlu            0      0.00%     70.85% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::MemRead      2273054     10.55%     81.40% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::MemWrite      4005906     18.60%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::FloatMemRead            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::FloatMemWrite            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.statIssuedInstType_0::total     21541384                       # Number of instructions issued per FU type, per thread (Count)
system.bigCluster.cpus.issueRate             0.850202                       # Inst issue rate ((Count/Cycle))
system.bigCluster.cpus.fuBusy                 7344013                       # FU busy when requested (Count)
system.bigCluster.cpus.fuBusyRate            0.340926                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.bigCluster.cpus.intInstQueueReads     75547501                       # Number of integer instruction queue reads (Count)
system.bigCluster.cpus.intInstQueueWrites     21669336                       # Number of integer instruction queue writes (Count)
system.bigCluster.cpus.intInstQueueWakeupAccesses     21519220                       # Number of integer instruction queue wakeup accesses (Count)
system.bigCluster.cpus.fpInstQueueReads             0                       # Number of floating instruction queue reads (Count)
system.bigCluster.cpus.fpInstQueueWrites            0                       # Number of floating instruction queue writes (Count)
system.bigCluster.cpus.fpInstQueueWakeupAccesses            0                       # Number of floating instruction queue wakeup accesses (Count)
system.bigCluster.cpus.vecInstQueueReads            0                       # Number of vector instruction queue reads (Count)
system.bigCluster.cpus.vecInstQueueWrites            0                       # Number of vector instruction queue writes (Count)
system.bigCluster.cpus.vecInstQueueWakeupAccesses            0                       # Number of vector instruction queue wakeup accesses (Count)
system.bigCluster.cpus.intAluAccesses        28885397                       # Number of integer alu accesses (Count)
system.bigCluster.cpus.fpAluAccesses                0                       # Number of floating point alu accesses (Count)
system.bigCluster.cpus.vecAluAccesses               0                       # Number of vector alu accesses (Count)
system.bigCluster.cpus.numInsts              21524843                       # Number of executed instructions (Count)
system.bigCluster.cpus.numLoadInsts           2268925                       # Number of load instructions executed (Count)
system.bigCluster.cpus.numSquashedInsts         15749                       # Number of squashed instructions skipped in execute (Count)
system.bigCluster.cpus.numSwp                       0                       # Number of swp insts executed (Count)
system.bigCluster.cpus.numNop                    1543                       # Number of nop insts executed (Count)
system.bigCluster.cpus.numRefs                6273493                       # Number of memory reference insts executed (Count)
system.bigCluster.cpus.numBranches            4533393                       # Number of branches executed (Count)
system.bigCluster.cpus.numStoreInsts          4004568                       # Number of stores executed (Count)
system.bigCluster.cpus.numRate               0.849549                       # Inst execution rate ((Count/Cycle))
system.bigCluster.cpus.timesIdled                3878                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.bigCluster.cpus.idleCycles              222989                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.bigCluster.cpus.committedInsts        18405415                       # Number of Instructions Simulated (Count)
system.bigCluster.cpus.committedOps          21482655                       # Number of Ops (including micro ops) Simulated (Count)
system.bigCluster.cpus.cpi                   1.376594                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.bigCluster.cpus.totalCpi              1.376594                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.bigCluster.cpus.ipc                   0.726431                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.bigCluster.cpus.totalIpc              0.726431                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.bigCluster.cpus.intRegfileReads       25635787                       # Number of integer regfile reads (Count)
system.bigCluster.cpus.intRegfileWrites      13921089                       # Number of integer regfile writes (Count)
system.bigCluster.cpus.ccRegfileReads         5144916                       # number of cc regfile reads (Count)
system.bigCluster.cpus.ccRegfileWrites        5143215                       # number of cc regfile writes (Count)
system.bigCluster.cpus.miscRegfileReads     146656700                       # number of misc regfile reads (Count)
system.bigCluster.cpus.miscRegfileWrites         4191                       # number of misc regfile writes (Count)
system.bigCluster.cpus.MemDepUnit__0.insertedLoads      2272936                       # Number of loads inserted to the mem dependence unit. (Count)
system.bigCluster.cpus.MemDepUnit__0.insertedStores      4008603                       # Number of stores inserted to the mem dependence unit. (Count)
system.bigCluster.cpus.MemDepUnit__0.conflictingLoads         2920                       # Number of conflicting loads. (Count)
system.bigCluster.cpus.MemDepUnit__0.conflictingStores          378                       # Number of conflicting stores. (Count)
system.bigCluster.cpus.MemDepUnit__1.insertedLoads            0                       # Number of loads inserted to the mem dependence unit. (Count)
system.bigCluster.cpus.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.bigCluster.cpus.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.bigCluster.cpus.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.bigCluster.cpus.MemDepUnit__2.insertedLoads            0                       # Number of loads inserted to the mem dependence unit. (Count)
system.bigCluster.cpus.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.bigCluster.cpus.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.bigCluster.cpus.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.bigCluster.cpus.MemDepUnit__3.insertedLoads            0                       # Number of loads inserted to the mem dependence unit. (Count)
system.bigCluster.cpus.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.bigCluster.cpus.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.bigCluster.cpus.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.bigCluster.cpus.branchPred.lookups      4579952                       # Number of BP lookups (Count)
system.bigCluster.cpus.branchPred.condPredicted      2379028                       # Number of conditional branches predicted (Count)
system.bigCluster.cpus.branchPred.condIncorrect        10645                       # Number of conditional branches incorrect (Count)
system.bigCluster.cpus.branchPred.BTBLookups      3144906                       # Number of BTB lookups (Count)
system.bigCluster.cpus.branchPred.BTBHits      3141066                       # Number of BTB hits (Count)
system.bigCluster.cpus.branchPred.BTBHitRatio     0.998779                       # BTB Hit Ratio (Ratio)
system.bigCluster.cpus.branchPred.RASUsed       642739                       # Number of times the RAS was used to get a target. (Count)
system.bigCluster.cpus.branchPred.RASIncorrect            4                       # Number of incorrect RAS predictions. (Count)
system.bigCluster.cpus.branchPred.indirectLookups          968                       # Number of indirect predictor lookups. (Count)
system.bigCluster.cpus.branchPred.indirectHits          799                       # Number of indirect target hits. (Count)
system.bigCluster.cpus.branchPred.indirectMisses          169                       # Number of indirect misses. (Count)
system.bigCluster.cpus.branchPred.indirectMispredicted           75                       # Number of mispredicted indirect branches. (Count)
system.bigCluster.cpus.commit.commitSquashedInsts        77568                       # The number of squashed insts skipped by commit (Count)
system.bigCluster.cpus.commit.commitNonSpecStalls         8015                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.bigCluster.cpus.commit.branchMispredicts         9304                       # The number of times a branch was mispredicted (Count)
system.bigCluster.cpus.commit.numCommittedDist::samples     25099157                       # Number of insts commited each cycle (Count)
system.bigCluster.cpus.commit.numCommittedDist::mean     0.855970                       # Number of insts commited each cycle (Count)
system.bigCluster.cpus.commit.numCommittedDist::stdev     1.651099                       # Number of insts commited each cycle (Count)
system.bigCluster.cpus.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.bigCluster.cpus.commit.numCommittedDist::0     16068312     64.02%     64.02% # Number of insts commited each cycle (Count)
system.bigCluster.cpus.commit.numCommittedDist::1      4772673     19.02%     83.03% # Number of insts commited each cycle (Count)
system.bigCluster.cpus.commit.numCommittedDist::2      1433021      5.71%     88.74% # Number of insts commited each cycle (Count)
system.bigCluster.cpus.commit.numCommittedDist::3       604216      2.41%     91.15% # Number of insts commited each cycle (Count)
system.bigCluster.cpus.commit.numCommittedDist::4      1046016      4.17%     95.32% # Number of insts commited each cycle (Count)
system.bigCluster.cpus.commit.numCommittedDist::5       268645      1.07%     96.39% # Number of insts commited each cycle (Count)
system.bigCluster.cpus.commit.numCommittedDist::6       293765      1.17%     97.56% # Number of insts commited each cycle (Count)
system.bigCluster.cpus.commit.numCommittedDist::7       157197      0.63%     98.19% # Number of insts commited each cycle (Count)
system.bigCluster.cpus.commit.numCommittedDist::8       455312      1.81%    100.00% # Number of insts commited each cycle (Count)
system.bigCluster.cpus.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.bigCluster.cpus.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.bigCluster.cpus.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.bigCluster.cpus.commit.numCommittedDist::total     25099157                       # Number of insts commited each cycle (Count)
system.bigCluster.cpus.commit.instsCommitted     18406877                       # Number of instructions committed (Count)
system.bigCluster.cpus.commit.opsCommitted     21484117                       # Number of ops (including micro ops) committed (Count)
system.bigCluster.cpus.commit.memRefs         6264602                       # Number of memory references committed (Count)
system.bigCluster.cpus.commit.loads           2261059                       # Number of loads committed (Count)
system.bigCluster.cpus.commit.amos                  0                       # Number of atomic instructions committed (Count)
system.bigCluster.cpus.commit.membars            7483                       # Number of memory barriers committed (Count)
system.bigCluster.cpus.commit.branches        4525044                       # Number of branches committed (Count)
system.bigCluster.cpus.commit.vectorInstructions            0                       # Number of committed Vector instructions. (Count)
system.bigCluster.cpus.commit.floating              0                       # Number of committed floating point instructions. (Count)
system.bigCluster.cpus.commit.integer        18877206                       # Number of committed integer instructions. (Count)
system.bigCluster.cpus.commit.functionCalls       636949                       # Number of function calls committed. (Count)
system.bigCluster.cpus.commit.committedInstType_0::No_OpClass            0      0.00%      0.00% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::IntAlu     14919351     69.44%     69.44% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::IntMult       300164      1.40%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::IntDiv            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::FloatAdd            0      0.00%     70.84% # Class of committed instruction (Count)
